dataset,trainSetSize,nAlgs,part,nFold,maxDepth,minElBranch,eval,trainRes,testRes
rcpsp,27,4,1,10,3,2,Rank,1.07407,2.33333
rcpsp,27,4,2,10,3,2,Rank,1,2.33333
rcpsp,27,4,3,10,3,2,Rank,1.03704,2.33333
rcpsp,27,4,4,10,3,2,Rank,1.07407,1.66667
rcpsp,27,4,5,10,3,2,Rank,1.03704,2.33333
rcpsp,27,4,6,10,3,2,Rank,1.07407,1.33333
rcpsp,27,4,7,10,3,2,Rank,1.03704,2.33333
rcpsp,27,4,8,10,3,2,Rank,1,2.66667
rcpsp,27,4,9,10,3,2,Rank,1.07407,1.33333
rcpsp,27,4,10,10,3,2,Rank,1.07407,1.66667
rcpsp,27,4,1,10,3,2,Rank,1.07407,2.33333
rcpsp,27,4,2,10,3,2,Rank,1,2.33333
rcpsp,27,4,3,10,3,2,Rank,1.03704,2.33333
rcpsp,27,4,4,10,3,2,Rank,1.07407,1.66667
rcpsp,27,4,5,10,3,2,Rank,1.03704,2.33333
rcpsp,27,4,6,10,3,2,Rank,1.07407,1.33333
rcpsp,27,4,7,10,3,2,Rank,1.03704,2.66667
rcpsp,27,4,8,10,3,2,Rank,1,2
rcpsp,27,4,9,10,3,2,Rank,1.07407,2
rcpsp,27,4,10,10,3,2,Rank,1.07407,2
rcpsp,27,4,1,10,3,2,Rank,1.07407,2.33333
rcpsp,27,4,2,10,3,2,Rank,1,2.33333
rcpsp,27,4,3,10,3,2,Rank,1.03704,2.33333
rcpsp,27,4,4,10,3,2,Rank,1.07407,1.66667
rcpsp,27,4,5,10,3,2,Rank,1.03704,2.33333
rcpsp,27,4,6,10,3,2,Rank,1.07407,1
rcpsp,27,4,7,10,3,2,Rank,1.03704,2.66667
rcpsp,27,4,8,10,3,2,Rank,1,2
rcpsp,27,4,9,10,3,2,Rank,1.07407,2
rcpsp,27,4,10,10,3,2,Rank,1.07407,1.66667
